Word,Confusions
अँका,अँखा
अँखा,अँका
अँकाइ,हँकाइ
हँकाइ,अँकाइ
अँकाउनु,हँकाउनु
हँकाउनु,अँकाउनु
अँखडि,अँखडी
अँखडी,अँखडि
अँखी,हँखी
हँखी,अँखी
अँख्या,हँक्या
हँक्या,अँख्या
अँगालो,हँगालो
हँगालो,अँगालो
अँगाल्नु,हँगाल्नु
हँगाल्नु,अँगाल्नु
अँधेरिनु,अँतेरिनु
अँतेरिनु,अँधेरिनु
अंश,"हंस, अंस"
हंस,"अंश, अंस"
अंस,"अंश, हंस"
अइठो,अइडो
अइडो,अइठो
अउ,"हउ, हौ"
हउ,"अउ, हौ"
हौ,"अउ, हउ"
अउथि,एउटी
एउटी,अउथि
अकच,अखच
अखच,अकच
अकट,अखट
अखट,अकट
अकड,एकड
एकड,अकड
अकडिनु,"अखडिनु, अखतिनु"
अखडिनु,"अकडिनु, अखतिनु"
अखतिनु,"अकडिनु, अखडिनु"
अकड्याइ,अखड्याइ
अखड्याइ,अकड्याइ
अकड्याउनु,अखत्याउनु
अखत्याउनु,अकड्याउनु
अकर,हकर
हकर,अकर
अकरा,अखरा
अखरा,अकरा
अकर्ण,अकर्न
अकर्न,अकर्ण
अकल,एकल
एकल,अकल
अकला,एकला
एकला,अकला
अकले,एकले
एकले,अकले
अकार,"एकार, हकार"
एकार,अकार
हकार,अकार
अकारादि,एकारादि
एकारादि,अकारादि
अकारान्त,एकारान्त
एकारान्त,अकारान्त
अकार्थ,एकार्थ
एकार्थ,अकार्थ
अकिल,"अखिल, एकिल"
अखिल,"अकिल, एकिल"
एकिल,"अकिल, अखिल"
अकुत,अकूत
अकूत,अकुत
अक्कड,अक्खड
अक्खड,अक्कड
अक्कर,अक्खर
अक्खर,अक्कर
अक्का,अक्खा
अक्खा,अक्का
अक्कासि,एक्कासि
एक्कासि,अक्कासि
अक्तियार,अख्तियार
अख्तियार,अक्तियार
अक्रनु,अख्रनु
अख्रनु,अक्रनु
अक्राइ,अख्राइ
अख्राइ,अक्राइ
अक्राउनु,अख्राउनु
अख्राउनु,अक्राउनु
अक्राहट,अख्राहट
अख्राहट,अक्राहट
अक्रिनु,अख्रिनु
अख्रिनु,अक्रिनु
अक्षर,अक्सर
अक्सर,अक्षर
एकता,"अखडा, एकदा"
अखडा,"एकता, एकदा"
एकदा,"अखडा, एकता"
अखन्द्रो,एकन्द्रो
एकन्द्रो,अखन्द्रो
अखबार,"एकबार, एकवार"
एकबार,"अखबार, एकवार"
एकवार,"अखबार, एकबार"
अगच,अघच
अघच,अगच
अगचिलो,अघचिलो
अघचिलो,अगचिलो
अगन,"अघन, हगन"
अघन,"अगन, हगन"
हगन,"अगन, अघन"
अगहनी,अघहनी
अघहनी,अगहनी
अगा,अघा
अघा,अगा
अगाउनु,"अघाउनु, हगाउनु"
अघाउनु,"अगाउनु, हगाउनु"
हगाउनु,"अगाउनु, अघाउनु"
अगाडि,अगाडी
अगाडी,अगाडि
अगार,"अघार, एगार, एघार"
अघार,"अगार, एगार, एघार"
एगार,"अगार, अघार, एघार"
एघार,"अगार, अघार, एगार"
हगास,अगास
अगास,हगास
अगि,"अघि, हगि"
अघि,"अगि, हगि"
हगि,"अगि, अघि"
अगिन,एगिन
एगिन,अगिन
अगिल्तिर,अघिल्तिर
अघिल्तिर,अगिल्तिर
अगिल्लो,अघिल्लो
अघिल्लो,अगिल्लो
अगिसरा,अघिसरा
अघिसरा,अगिसरा
अगुल्टो,हगुल्टो
हगुल्टो,अगुल्टो
अगुवा,हगुवा
हगुवा,अगुवा
अगैया,अघैया
अघैया,अगैया
अगौली,अघौली
अघौली,अगौली
अग्निवाण,अग्निबाण
अग्निबाण,अग्निवाण
अग्राशन,अग्रासन
अग्रासन,अग्राशन
अग्लो,एग्लो
एग्लो,अग्लो
अघाइ,हगाइ
हगाइ,अघाइ
अघाउन्जेलि,अघाउन्जेली
अघाउन्जेली,अघाउन्जेलि
अङभर,अनवर
अनवर,अङभर
अङार,अनार
अनार,अङार
अङालो,अनालो
अनालो,अङालो
अङौठो,अनौठो
अनौठो,अङौठो
अङ्गउपाङ्ग,अङ्गोपाङ्ग
अङ्गोपाङ्ग,अङ्गउपाङ्ग
अङ्गद,अन्घड
अन्घड,अङ्गद
अङ्भर,अन्भर
अन्भर,अङ्भर
अङ्स,हङ्स
हङ्स,अङ्स
अचक,हचक
हचक,अचक
अचल,अछल
अछल,अचल
अचार,हचार
हचार,अचार
अचुक,अछुक
अछुक,अचुक
अच्कनु,हच्कनु
हच्कनु,अच्कनु
अच्काउनु,हच्काउनु
हच्काउनु,अच्काउनु
अच्को,हच्को
हच्को,अच्को
अज,"अझ, हज"
अझ,"अज, हज"
हज,"अज, अझ"
अजक,अझक
अझक,अजक
अजरअमर,अजरामर
अजरामर,अजरअमर
अजरा,हजरा
हजरा,अजरा
अजा,अझा
अझा,अजा
अजारी,हजारी
हजारी,अजारी
अजि,अजी
अजी,अजि
अजिब,अजीव
अजीव,अजिब
अजिर्न,अजीर्ण
अजीर्ण,अजिर्न
अजुर,हजुर
हजुर,अजुर
अञ्जन,अन्जन
अन्जन,अञ्जन
अञ्जना,अन्जना
अन्जना,अञ्जना
अञ्जली,अञ्जलि
अञ्जलि,अञ्जली
अञ्जीर,अन्जिर
अन्जिर,अञ्जीर
अट,हट
हट,अट
अटक,अथक
अथक,अटक
अटाइ,हटाइ
हटाइ,अटाइ
अटाउनु,हटाउनु
हटाउनु,अटाउनु
अटिनु,हटिनु
हटिनु,अटिनु
अट्कनु,हट्कनु
हट्कनु,अट्कनु
अट्काउनु,हट्काउनु
हट्काउनु,अट्काउनु
अट्को,हट्को
हट्को,अट्को
अट्ट,हट्ट
हट्ट,अट्ट
अट्नु,हट्नु
हट्नु,अट्नु
अठ,"अड, हठ"
अड,"अठ, हड"
हठ,"अठ, हड"
हड,"अड, हठ"
अद,"अध, हद"
अध,"अद, हद"
हद,हत
हत,हद
अठचालिस,अठचालीस
अठचालीस,अठचालिस
अठचालिसौँ,अठचालीसौँ
अठचालीसौँ,अठचालिसौँ
अठतिस,अठतीस
अठतीस,अठतिस
अठतिसौँ,अठतीसौँ
अठतीसौँ,अठतिसौँ
अदन्नी,अधन्नी
अधन्नी,अदन्नी
अठबा,अधवा
अधवा,अठबा
अठिया,हडिया
हडिया,अठिया
अठेसो,अडेसो
अडेसो,अठेसो
अठ्याइ,अड्याइ
अड्याइ,"अठ्याइ, हड्याइ"
अत्याइ,हत्याइ
हत्याइ,अत्याइ
हड्याइ,अड्याइ
अडबड,"हडबड, हदबद"
हडबड,"अडबड, हदबद"
हदबद,"अडबड, हडबड"
अडबडाउनु,हडबडाउनु
हडबडाउनु,अडबडाउनु
अडाइ,अढाई
अढाई,अडाइ
अडान,अदान
अदान,अदहन
अदहन,अदान
अडाह,अदाह
अदाह,अडाह
अडाहा,अधाहा
अधाहा,अडाहा
अडिर,अधीर
अधीर,अडिर
अडिलो,अदिलो
अदिलो,अडिलो
अडेरी,अधेरी
अधेरी,अडेरी
अडेस,अदेश
अदेश,अडेस
अडैया,अढैया
अढैया,अडैया
अड्कनु,हड्कनु
हड्कनु,अड्कनु
अड्काइ,हड्काइ
हड्काइ,अड्काइ
अड्काउनु,हड्काउनु
हड्काउनु,अड्काउनु
अड्किनु,हड्किनु
हड्किनु,अड्किनु
अड्डा,"अद्दा, हड्डा"
अद्दा,"अड्डा, हड्डा"
हड्डा,"अड्डा, अद्दा"
अड्डी,"अद्दी, हड्डी"
अद्दी,"अड्डी, हड्डी"
हड्डी,अड्डी
हत्तु,हद्दु
हद्दु,हत्तु
हत्ते,हद्दे
हद्दे,हत्ते
अड्याउनु,हड्याउनु
हड्याउनु,अड्याउनु
हत्याउनु,अत्याउनु
अत्याउनु,हत्याउनु
अढना,अदना
अदना,अढना
अणु,अनु
अनु,अणु
अणुभार,अनुवार
अनुवार,अणुभार
अणुवाद,अनुवाद
अनुवाद,अणुवाद
अणुवादी,अनुवादी
अनुवादी,अणुवादी
अण्ड,अन्ध
अन्ध,अण्ड
अण्डा,"अन्डा, हण्डा, हन्डा"
अन्डा,"अण्डा, हण्डा, हन्डा"
हण्डा,"अण्डा, अन्डा, हन्डा"
हन्डा,"अण्डा, अन्डा, हण्डा"
अतल,अदल
अदल,अतल
अतास,"अदास, हताश"
अदास,"अतास, हताश"
हताश,"अतास, अदास"
अतासिनु,हतासिनु
हतासिनु,अतासिनु
अति,एति
एति,अति
अधि,हदी
हदी,हडी
हठी,हडी
हडी,"हठी, हदी"
अतिक्रम,अधिक्रम
अधिक्रम,अतिक्रम
अतिक्रमण,अधिक्रमण
अधिक्रमण,अतिक्रमण
अतिदेय,अधिदेय
अधिदेय,अतिदेय
अतिदेव,अधिदेव
अधिदेव,अतिदेव
अतिप्रजनन,अधिप्रजनन
अधिप्रजनन,अतिप्रजनन
अतिभार,अधिभार
अधिभार,अतिभार
अतिमान,अधिमान
अधिमान,अतिमान
अतिमानव,अधिमानव
अधिमानव,अतिमानव
अतिमित्र,अधिमित्र
अधिमित्र,अतिमित्र
अतियथार्थ,अधियथार्थ
अधियथार्थ,अतियथार्थ
अतियथार्थवाद,अधियथार्थवाद
अधियथार्थवाद,अतियथार्थवाद
अतियोग,अधियोग
अधियोग,अतियोग
अतिरक्त,अधिरक्त
अधिरक्त,अतिरक्त
अतिरथी,अधिरथी
अधिरथी,अतिरथी
अतिवास,अधिवास
अधिवास,अतिवास
अतिवृद्धि,अधिवृद्धि
अधिवृद्धि,अतिवृद्धि
अतिशा,अतिसा
अतिसा,अतिशा
अतिशेष,अधिशेष
अधिशेष,अतिशेष
अतिश्री,अधिश्री
अधिश्री,अतिश्री
अतीत,अधीत
अधीत,अतीत
अदिस,अधीश
अधीश,अदिस
अत्तर,हत्तर
हत्तर,अत्तर
अत्थि,हत्थी
हत्थी,अत्थि
अत्यहम्,अध्यहम्
अध्यहम्,अत्यहम्
अत्यास,अध्यास
अध्यास,अत्यास
अत्याहार,अध्याहार
अध्याहार,अत्याहार
अत्रि,अद्रि
अद्रि,अत्रि
अदण्ड,अदन्त
अदन्त,अदण्ड
अदण्ड्य,अदन्त्य
अदन्त्य,अदण्ड्य
अदन,अधन
अधन,अदन
अदबेस्रो,अधबेस्रो
अधबेस्रो,अदबेस्रो
अदय,अधय
अधय,अदय
अदा,अधा
अधा,अदा
एठा,एता
एता,एठा
अदारि,अधारी
अधारी,अदारि
अदिति,अधीति
अधीति,अदिति
अदिन,"अदीन, अधीन"
अदीन,"अदिन, अधीन"
अधीन,"अदिन, अदीन"
अदुवा,अधुवा
अधुवा,अदुवा
हठुवा,हतुवा
हतुवा,हठुवा
अदृष्ट,अधृष्ट
अधृष्ट,अदृष्ट
अदेखा,अधेका
अधेका,अदेखा
अदेलो,"अधेलो, हदेलो"
अधेलो,"अदेलो, हदेलो"
हदेलो,हतेलो
हतेलो,हदेलो
अदोरी,अदौरी
अदौरी,"अदोरी, हतौरी"
हतौरी,अदौरी
अद्द,हद्द
हद्द,हत्त
हत्त,हद्द
अधिस्वर,अधीश्वर
अधीश्वर,अधिस्वर
अधुत,अधूत
अधूत,अधुत
